"","V1","V2","V3","V4"
"1",4307,12601,474,936
"2",5110,12067,478,663
"3",4796,12362,498,662
"4",1340,14888,553,1537
"5",1450,14914,490,1464
"6",4932,12204,455,727
"7",4970,12073,466,809
"8",4827,12163,449,879
"9",4818,12207,375,918
"10",4725,12309,408,876
"11",5086,11981,410,841
"12",1387,14844,544,1543
"13",4847,12148,420,903
"14",4795,12261,419,843
"15",1602,14681,499,1536
"16",5126,11985,398,809
"17",4988,12073,401,856
"18",4712,12248,426,932
"19",4748,12322,425,823
"20",4768,12292,438,820
"21",4971,12083,391,873
"22",1380,14874,508,1556
"23",5017,12023,453,825
"24",4560,12463,420,875
"25",4767,12269,407,875
"26",4898,12129,439,852
"27",5328,11762,502,726
"28",4774,12233,433,878
"29",4835,12190,440,853
"30",4889,12273,436,720
"31",3682,13096,524,1016
"32",1337,14890,613,1478
"33",1353,14904,601,1460
"34",1305,14867,539,1607
"35",5063,12014,412,829
"36",1246,14860,553,1659
"37",4816,12227,396,879
"38",2986,13627,504,1201
"39",5230,11804,418,866
"40",1430,14839,596,1453
"41",4829,12241,381,867
"42",4887,12198,414,819
"43",1357,14816,554,1591
"44",4973,12023,418,904
"45",4827,12210,405,876
"46",4511,12547,487,773
"47",3043,13546,525,1204
"48",1344,14859,586,1529
"49",5191,11858,426,843
"50",4912,12062,462,882
"51",944,15212,545,1617
"52",3695,13078,439,1106
"53",4931,12176,370,841
"54",4848,12212,424,834
"55",4833,12204,423,858
"56",4966,12174,427,751
"57",5170,11963,377,808
"58",4702,12223,435,958
"59",4733,12339,449,797
"60",4744,12259,449,866
"61",4996,12075,412,835
"62",4618,12488,472,740
"63",4464,12461,440,953
"64",5198,11974,431,715
"65",5079,11967,410,862
"66",5080,11964,413,861
"67",4790,12173,395,960
"68",4862,12174,439,843
"69",4786,12243,456,833
"70",4776,12250,423,869
"71",4830,12190,504,794
"72",4963,12083,420,852
"73",5387,11727,403,801
"74",5372,11853,396,697
"75",4787,12244,417,870
"76",5113,11980,361,864
"77",4584,12402,506,826
"78",4836,12205,448,829
"79",4891,12111,418,898
"80",4986,12146,472,714
"81",1278,14942,509,1589
"82",1492,14723,549,1554
"83",4675,12365,481,797
"84",4892,12127,458,841
"85",1119,15074,512,1613
"86",4979,11999,466,874
"87",4882,12171,425,840
"88",4599,12392,410,917
"89",1449,14779,515,1575
"90",4491,12491,425,911
"91",1236,14899,560,1623
"92",1203,15015,503,1597
"93",1315,14829,550,1624
"94",4525,12486,451,856
"95",3749,12990,532,1047
"96",5096,11962,409,851
"97",4819,12268,440,791
"98",3365,13274,569,1110
"99",3054,13631,525,1108
"100",4854,12205,465,794
